Life expectancy at birth (years)
Medium
Medium
High
Medium
Medium
High
Medium
High
Low
High
High
Low
Medium
Low
Low
Low
High
Medium
High
High
Medium
Low
High
High
Low
Medium
Low
High
High
Low
Low
High
Low
Medium
High
High
Medium
Low
High
High
Low
High
Low
High
High
Medium
Medium
High
Medium
Medium
High
Low
Low
Low
High
High
High
Low
High
Low
Medium
High
High
High
Medium
Low
High
High
High
Medium
High
High
Low
Medium
Low
Medium
Medium
Low
Medium
Medium
Low
Low
Low
High
High
Low
Medium
Medium
Medium
Low
Low
Medium
Low
High
High
High
Medium
Low
Medium
Low
High
High
High
High
Low
High
Low
Low
High
Medium
Medium
High
High
Low
Medium
Medium
High
Medium
Low
Low
Medium
High
